Jid	group
P162	G0
P163	G0
P150	G0
P149	G0
P147	G0
P148	G0
P211	G1
P208	G1
P209	G1
P210	G1
P22	G1
P23	G1
P43	G1
P44	G1
P24	G1
P25	G1
P37	G1
P38	G1
P31	G1
P32	G2
P189	G3
P190	G3
P187	G2
P188	G2
P30	G2
P186	G2
P185	G2
P29	G2
P109	G2
P108	G2
P199	G2
P198	G2
P200	G2
P151	G2
P152	G2
P179	G2
P180	G2
P27	G2
P28	G2
P232	G2
P182	G2
P233	G2
P212	G2
P213	G2
P312	G2
P169	G2
P313	G2
P181	G2
P340	G2
P128	G2
P129	G2
P89	G2
P88	G2
P341	G2
P342	G2
P225	G3
P226	G3
P52	G3
P79	G3
P77	G3
P78	G3
P115	G2
P165	G3
P166	G3
P51	G3
P293	G3
P294	G3
P288	G3
P289	G3
P85	G3
P204	G3
P205	G3
P237	G3
P238	G3
P0	G3
P1	G3
P84	G3
P114	G3
P106	G3
P107	G3
P137	G3
P136	G3
P279	G3
P280	G3
P301	G3
P12	G3
P6	G3
P13	G3
P7	G3
P224	G3
P286	G3
P285	G3
P223	G3
P336	G4
P337	G4
P35	G4
P36	G4
P246	G4
P247	G4
P245	G4
P145	G4
P144	G4
P146	G4
P287	G4
P81	G4
P80	G4
P134	G4
P135	G4
P322	NC
P62	G5
P183	G5
P5	G5
P234	G5
P235	G5
P184	G5
P4	G5
P323	G5
P112	G5
P16	G5
P2	G5
P3	G5
P17	G5
P110	G5
P111	G5
P68	G5
P69	G5
P113	G5
P8	G5
P324	G5
P54	G5
P325	G5
P104	G5
P303	G5
P302	G5
P33	G5
P34	G5
P42	G5
P41	G5
P290	G5
P291	G5
P292	G5
P103	G5
P53	G5
P125	G5
P269	G5
P70	G5
P86	G5
P105	G5
P127	G5
P87	G5
P241	G5
P242	G5
P124	G5
P236	G5
P126	G5
P95	G5
P96	G5
P282	G5
P281	G5
P101	G5
P102	G5
P100	G5
P283	NC
P284	NC
P132	NC
P133	NC
P307	G6
P306	G6
P193	G6
P194	G6
P50	G6
P49	G6
P153	G6
P154	G6
P26	G6
P263	G6
P264	G6
P300	G6
P160	G6
P270	G6
P299	G6
P57	G6
P58	G6
P48	G6
P47	G6
P273	G7
P271	G7
P272	G7
P40	G7
P278	G7
P39	G7
P332	G7
P333	G7
P155	G7
P192	G7
P156	G7
P138	G7
P139	G7
P197	G7
P191	G7
P195	G7
P196	G7
P277	G7
P172	G7
P161	NC
P164	NC
P314	G8
P315	NC
P203	G7
P328	G8
P65	G8
P201	G8
P202	G8
P120	G8
P121	G8
P329	G8
P239	NC
P240	NC
P45	G9
P46	G9
P19	G9
P20	G9
P21	G9
P249	G9
P250	G9
P253	G9
P251	G9
P248	G9
P252	G9
P259	G9
P262	G9
P256	G9
P255	G9
P257	G9
P254	G9
P260	G9
P258	G9
P261	G9
P316	G10
P317	G10
P175	G10
P176	G10
P10	G10
P9	G10
P66	NC
P140	G11
P93	G11
P90	G11
P94	G11
P91	G11
P92	G11
P67	NC
P220	NC
P63	G11
P64	G11
P219	G11
P267	G11
P268	G11
P343	G11
P344	G11
P275	G11
P274	G11
P276	G11
P227	G11
P228	G11
P217	G11
P216	G11
P218	G11
P206	G11
P207	G11
P61	G11
P265	G11
P266	G11
P304	G11
P305	G11
P158	G11
P157	G11
P159	G11
P173	NC
P174	NC
P11	NC
P56	NC
P98	NC
P75	G12
P76	NC
P334	G12
P335	G12
P123	G12
P122	G12
P326	G12
P327	G12
P243	G12
P244	G12
P97	G12
P99	G12
P59	G12
P60	G12
P308	G12
P318	G12
P311	G12
P310	G12
P297	G12
P298	G12
P221	G12
P331	G12
P222	G12
P55	G12
P319	G12
P330	G12
P170	G12
P141	G12
P142	G12
P143	G12
P338	G12
P339	G12
P231	G12
P229	G12
P230	G12
P177	G12
P178	G12
P117	G12
P171	G12
P321	G12
P116	G12
P167	G12
P214	G12
P215	G12
P118	G12
P320	G12
P295	G12
P296	G12
P168	G12
P309	G12
P74	G12
P73	G12
P71	G12
P72	G12
P119	NC
P82	G12
P83	G12
P130	G12
P131	G12
P18	G12
P14	G12
P15	G12
