P293	T_Sengwer-1
P294	T_Sengwer-2
P127	S_Icelandic-2
P126	S_Icelandic-1
P193	S_Makrani-2
P194	S_Makrani-1
P212	S_Mende-1
P213	S_Mende-2
P316	S_Tubalar-1
P317	S_Tubalar-2
P190	T_Mada-2
P189	T_Mada-1
P327	S_Ulchi-2
P326	S_Ulchi-1
P152	T_Kaba-2
P151	T_Kaba-1
P3	S_Abkhasian-1
P2	S_Abkhasian-2
P203	S_Maori-1
P121	S_Hazara-2
P120	S_Hazara-1
P146	S_Jordanian-2
P144	S_Jordanian-3
P145	S_Jordanian-1
P221	S_Mongola-2
P222	S_Mongola-1
P103	S_French-2
P104	S_French-1
P219	S_Mixtec-1
P220	S_Mixtec-2
P107	T_Fulani-2
P106	T_Fulani-1
P338	S_Yi-1
P217	B_Mixe-1
P243	S_Oroqen-1
P244	S_Oroqen-2
P36	S_BedouinB-2
P35	S_BedouinB-1
P39	S_Bengali-1
P40	S_Bengali-2
P202	S_Mansi-1
P201	S_Mansi-2
P288	T_Sandawe-2
P289	T_Sandawe-1
P267	S_Pima-2
P268	S_Pima-1
P246	S_Palestinian-2
P247	S_Palestinian-3
P245	S_Palestinian-1
P148	S_Ju_hoan_North-1
P147	S_Ju_hoan_North-2
P149	S_Ju_hoan_North-3
P79	S_Dinka-1
P78	S_Dinka-2
P236	S_Norwegian-1
P60	S_Cambodian-1
P59	S_Cambodian-2
P87	S_English-2
P86	S_English-1
P195	S_Mala-2
P196	S_Mala-3
P277	S_Relli-1
P278	S_Relli-2
P284	S_Saami-2
P283	S_Saami-1
P70	S_Czech-2
P241	S_Orcadian-2
P242	S_Orcadian-1
P165	T_Kikuyu-1
P166	T_Kikuyu-2
P303	S_Spanish-2
P302	S_Spanish-1
P164	S_Khonda_Dora-1
P61	S_Chane-1
P111	S_Georgian-2
P110	S_Georgian-1
P301	S_Somali-1
P158	B_Karitiana-3
P1	T_Aari-1
P116	B_Han-3
P0	T_Aari-2
P16	S_Armenian-1
P17	S_Armenian-2
P306	S_Tajik-1
P307	S_Tajik-2
P76	S_Daur-1
P75	S_Daur-2
P132	S_Iranian-2
P133	S_Iranian-1
P98	S_Even-1
P99	S_Even-3
P97	S_Even-2
P83	S_Dusun-1
P82	S_Dusun-2
P334	S_Yakut-2
P28	S_BantuHerero-2
P27	S_BantuHerero-1
P46	S_Bougainville-1
P45	S_Bougainville-2
P170	S_Korean-2
P310	T_Tibetan-1
P225	T_Mursi-1
P18	S_Atayal-1
P102	S_Finnish-3
P101	S_Finnish-2
P100	S_Finnish-1
P279	T_Rendille-2
P280	T_Rendille-1
P208	S_Mbuti-3
P336	S_Yemenite_Jew-1
P209	S_Mbuti-1
P216	S_Mixe-2
P218	S_Mixe-3
P153	S_Kalash-2
P154	S_Kalash-1
P269	S_Polish-1
P260	S_Papuan-14
P339	S_Yi-2
P259	S_Papuan-10
P261	S_Papuan-11
P262	S_Papuan-12
P258	S_Papuan-13
P234	S_North_Ossetian-1
P235	S_North_Ossetian-2
P183	S_Lezgin-2
P184	S_Lezgin-1
P85	T_Elmolo-2
P84	T_Elmolo-1
P91	S_Eskimo_Naukan-1
P92	S_Eskimo_Naukan-2
P226	T_Mursi-2
P171	S_Korean-1
P118	S_Han-2
P117	S_Han-1
P319	S_Tu-2
P318	S_Tu-1
P38	T_Bedzan-2
P37	T_Bedzan-1
P253	S_Papuan-6
P254	S_Papuan-7
P250	S_Papuan-4
P251	S_Papuan-5
P248	S_Papuan-2
P249	S_Papuan-3
P256	S_Papuan-1
P22	T_Baka-2
P255	S_Papuan-8
P140	S_Itelman-1
P329	S_Uygur-1
P328	S_Uygur-2
P344	S_Zapotec-2
P343	S_Zapotec-1
P265	S_Piapoco-1
P266	S_Piapoco-2
P179	T_Laka-1
P180	T_Laka-2
P315	S_Tlingit-1
P314	S_Tlingit-2
P23	T_Baka-1
P257	S_Papuan-9
P43	S_Biaka-1
P44	S_Biaka-2
P295	S_She-2
P80	S_Druze-1
P81	S_Druze-2
P290	B_Sardinian-3
P14	S_Ami-1
P15	S_Ami-2
P71	B_Dai-4
P185	S_Luhya-1
P41	S_Bergamo-1
P42	S_Bergamo-2
P155	S_Kapu-1
P156	S_Kapu-2
P324	S_Tuscan-2
P182	S_Lemande-1
P181	S_Lemande-2
P231	S_Naxi-3
P229	S_Naxi-1
P341	S_Yoruba-2
P340	S_Yoruba-1
P304	S_Surui-1
P305	S_Surui-2
P311	T_Tibetan-2
P31	S_BantuTswana-1
P32	S_BantuTswana-2
P335	S_Yakut-1
P54	S_Bulgarian-2
P53	S_Bulgarian-1
P139	S_Irula-2
P138	S_Irula-1
P57	S_Burusho-2
P58	S_Burusho-1
P296	S_She-1
P8	S_Albanian-1
P122	S_Hezhen-1
P123	S_Hezhen-2
P292	S_Sardinian-1
P237	T_Ogiek-1
P238	T_Ogiek-2
P291	S_Sardinian-2
P168	S_Kinh-2
P167	S_Kinh-1
P108	S_Gambian-1
P109	S_Gambian-2
P77	B_Dinka-3
P105	B_French-3
P4	S_Adygei-2
P5	S_Adygei-1
P286	S_Saharawi-2
P285	S_Saharawi-1
P62	S_Chechen-1
P309	S_Thai-2
P308	S_Thai-1
P150	B_Ju_hoan_North-4
P26	S_Balochi-1
HGDP00058	S_Balochi-2
P174	S_Kusunda-1
P141	S_Japanese-1
P142	S_Japanese-2
P143	S_Japanese-3
P49	S_Brahui-2
P240	BR_Onge-2
P50	S_Brahui-1
P160	BR_Kashmiri_Pandit-1
P239	BR_Onge-1
P130	S_Igorot-1
P131	S_Igorot-2
P48	S_Brahmin-2
P47	S_Brahmin-1
P207	S_Mayan-2
P206	S_Mayan-1
P252	B_Papuan-15
P232	T_Ngumba-2
P233	T_Ngumba-1
P173	S_Kusunda-2
P135	S_Iraqi_Jew-2
P134	S_Iraqi_Jew-1
P63	S_Chipewyan-2
P200	B_Mandenka-3
P64	S_Chipewyan-1
P11	S_Altaian-1
P321	S_Tujia-2
P205	S_Masai-2
P204	S_Masai-1
P73	S_Dai-1
P72	S_Dai-2
P74	S_Dai-3
P34	S_Basque-2
P33	S_Basque-1
